,Spend,Employees,Assets,Customers,EnergyOperatingRevenue,TotalCapacityMW,Size,ElectricSalesMWh
Ameren,1657782905,9097,21835000000,3300000,6828000000,16650.2,-0.520930518,99971000
APS,1223293268,6613,13242542000,1145232,3293489000,6491,-1.785204767,32448000
BC Hydro,1951013857,6194,21900000000,1900000,4730000000,12339.5,-1.248809496,57083000
ConEd,3095918676,14529,41209000000,4800000,12188000000,870.71,0.535284327,62932000
DTE,2416230554,9973,26339000000,3300000,8791000000,12202.73,-0.311195184,48642000
Duke,8584495023,27780,1.14E+11,7700000,19624000000,52672.26,5.362701867,236116000
EFH,1786440121,9100,40970000000,1750000,5636000000,16246,-0.51581843,70490000
FirstEnergy,3470083206,16495,50406000000,2600000,15303000000,21142.1,1.340453476,99700000
KCP&L,838139925.6,3090,6703800000,511800,1579900000,4932.29,-2.456771395,21979000
LCRA,419690585,2000,4821800000,1100000,1185848000,3407.8,-2.557535719,
NRG,5685134772,8792,35110000000,2210000,8422000000,26043.21,-0.061613399,59185000
NV Energy,593388059.6,2699,11984136000,1327000,2979177000,6358.05,-2.094181934,29185000
PG&E,5380822747,20593,49242000000,9400000,15035000000,7600.36,2.264023495,86113000
PSEG,3246452684,9798,19223000000,4000000,6626000000,10414.4,-0.874524464,41641000
SCE,3784388992,16515,44034000000,5000000,11851000000,5547.48,0.855112518,88215000
TVA,3329433336,12762,47334000000,9000000,11220000000,38150.9,2.069009623,165255000
